# 5d31f114-073f-44bb-8a97-4b8d8235fb90
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
1162.8982444; 0.0301089; 7.6501600; 7.5898400; 0.0004464; -0.9999999; -5.8880481; 0.0000000; -1.5707950; 0.0000000; 52.4182079; -13.6830695
1165.8964175; 0.0314477; 7.6514576; 7.5885424; 0.0004422; -0.9999999; -5.8867132; 2.9981981; -1.5707950; 0.0000000; 51.8935814; -13.6489493
1168.8945970; 0.0327336; 7.6527774; 7.5872226; 0.0004110; -0.9999999; -5.8854314; 5.9965618; -1.5707950; 0.0000000; 50.8321095; -13.5809740
1171.8927857; 0.0338854; 7.6539213; 7.5860787; 0.0003528; -0.9999999; -5.8842836; 8.9950937; -1.5707949; 0.0000000; 50.2949992; -13.5471131
1174.8909864; 0.0348220; 7.6548303; 7.5851697; 0.0002675; -1.0000000; -5.8833510; 11.9937966; -1.5707949; 0.0000000; 49.2073172; -13.4796465
1177.8892020; 0.0354624; 7.6554803; 7.5845197; 0.0001551; -1.0000000; -5.8827148; 14.9926732; -1.5707949; 0.0000000; 48.6564376; -13.4460400
1180.8874352; 0.0357253; 7.6557472; 7.5842528; 0.0000157; -1.0000000; -5.8824561; 17.9917265; -1.5707949; 0.0000000; 47.5397676; -13.3790713
1183.8856890; 0.0355297; 7.6555425; 7.5844575; -0.0001507; -1.0000000; -5.8826561; 20.9909594; -1.5707949; -0.0000000; 46.9736160; -13.3457064
1186.8839661; 0.0347945; 7.6547957; 7.5852043; -0.0003442; -0.9999999; -5.8833958; 23.9903750; -1.5707949; -0.0000000; 45.8246962; -13.2792249
1189.8822693; 0.0334386; 7.6534400; 7.5865600; -0.0005647; -0.9999998; -5.8847565; 26.9899766; -1.5707949; -0.0000000; 45.2414987; -13.2461079
1192.8806015; 0.0313809; 7.6513731; 7.5886269; -0.0008123; -0.9999997; -5.8868193; 29.9897674; -1.5707950; -0.0000000; 44.0564532; -13.1801205
1195.8789656; 0.0285403; 7.6485255; 7.5914745; -0.0010870; -0.9999994; -5.8896653; 32.9897512; -1.5707950; -0.0000000; 43.4540891; -13.1472497
1198.8773642; 0.0248357; 7.6448120; 7.5951880; -0.0013886; -0.9999990; -5.8933759; 35.9899318; -1.5707951; -0.0000000; 42.2282548; -13.0817533
1201.8758003; 0.0201859; 7.6401560; 7.5998440; -0.0017173; -0.9999985; -5.8980321; 38.9903131; -1.5707952; -0.0000000; 41.6041549; -13.0491272
1204.8742767; 0.0145100; 7.6344761; 7.6055239; -0.0020731; -0.9999979; -5.9037152; 41.9908994; -1.5707954; -0.0000000; 40.3318391; -12.9841188
1207.8727962; 0.0077267; 7.6277073; 7.6122927; -0.0024559; -0.9999970; -5.9105063; 44.9916954; -1.5707955; -0.0000001; 39.6828418; -12.9517352
1210.8713616; -0.0002451; 7.6197203; 7.6202797; -0.0028657; -0.9999959; -5.9184866; 47.9927059; -1.5707957; -0.0000001; 38.3569750; -12.8872151
1213.8699757; -0.0094863; 7.6103961; 7.6296039; -0.0033025; -0.9999945; -5.9277374; 50.9939360; -1.5707960; -0.0000001; 36.9905745; -12.8229877
1216.8686415; -0.0200783; 7.5998635; 7.6401365; -0.0037664; -0.9999929; -5.9383399; 53.9953913; -1.5707962; -0.0000001; 36.2907388; -12.7910711
1219.8673616; -0.0321019; 7.5877622; 7.6522378; -0.0042573; -0.9999909; -5.9503752; 56.9970781; -1.5707966; -0.0000001; 34.8544284; -12.7270544
1222.8661389; -0.0456384; 7.5742313; 7.6657687; -0.0047750; -0.9999886; -5.9639247; 59.9990004; -1.5707971; -0.0000003; 34.1164181; -12.6953799
1225.8649763; -0.0607689; 7.5591504; 7.6808496; -0.0053208; -0.9999858; -5.9790695; 63.0011737; -1.5707958; 0.0000010; 32.5961751; -12.6305966
1228.8638720; -0.0773454; 7.5426353; 7.6973647; -0.0056603; -0.9999840; -5.9956612; 66.0021931; -1.5707929; 0.0000019; 31.8118722; -12.5992803
1231.8628049; -0.0942742; 7.5257392; 7.7142608; -0.0055549; -0.9999846; -6.0126054; 69.0005881; -1.5707858; 0.0000015; 30.1883958; -12.5372751
1234.8617491; -0.1102172; 7.5096781; 7.7303219; -0.0050030; -0.9999875; -6.0285647; 71.9962942; -1.5707831; 0.0000011; 29.3461592; -12.5051001
1237.8606787; -0.1238363; 7.4960363; 7.7439637; -0.0040052; -0.9999920; -6.0422042; 74.9892626; -1.5707797; 0.0000023; 28.4812843; -12.4756849
1240.8595677; -0.1337936; 7.4860878; 7.7539122; -0.0025611; -0.9999967; -6.0521913; 77.9794518; -1.5707807; -0.0000053; 26.6745340; -12.4044227
1243.8583904; -0.1387510; 7.4811209; 7.7588791; -0.0006708; -0.9999998; -6.0571958; 80.9668373; -1.5707720; 0.0000140; 25.7278044; -12.3739403
1246.8571206; -0.1373705; 7.4825219; 7.7574781; 0.0016660; -0.9999986; -6.0558898; 83.9514153; -1.5708520; -0.0000823; 23.7321531; -12.2221676
1249.8557325; -0.1283140; 7.4914994; 7.7485006; 0.0044486; -0.9999901; -6.0469476; 86.9332161; -1.5707414; 0.0001930; 22.6789145; -12.1880978
1252.8542002; -0.1102434; 7.5093835; 7.7306165; 0.0076798; -0.9999705; -6.0290458; 89.9122823; -1.5719120; -0.0010713; 20.4533823; -11.1904674
